Entity,Code,Year,Number of reported natural disasters - Earthquakes
Asia,OWID_ASI,1219,1
Asia,OWID_ASI,1227,1
Asia,OWID_ASI,1231,1
Asia,OWID_ASI,1237,1
Asia,OWID_ASI,1241,1
Asia,OWID_ASI,1255,1
Asia,OWID_ASI,1257,2
Asia,OWID_ASI,1267,1
Asia,OWID_ASI,1268,1
Asia,OWID_ASI,1269,1
Asia,OWID_ASI,1272,1
Asia,OWID_ASI,1275,1
Asia,OWID_ASI,1280,1
Asia,OWID_ASI,1281,1
Asia,OWID_ASI,1283,1
Asia,OWID_ASI,1284,1
Asia,OWID_ASI,1289,1
Asia,OWID_ASI,1290,1
Asia,OWID_ASI,1291,2
Asia,OWID_ASI,1293,2
Asia,OWID_ASI,1296,1
Asia,OWID_ASI,1300,1
Asia,OWID_ASI,1301,1
Asia,OWID_ASI,1303,1
Asia,OWID_ASI,1304,1
Asia,OWID_ASI,1305,1
Asia,OWID_ASI,1306,2
Asia,OWID_ASI,1310,2
Asia,OWID_ASI,1314,1
Asia,OWID_ASI,1319,1
Asia,OWID_ASI,1327,1
Asia,OWID_ASI,1331,1
Asia,OWID_ASI,1332,1
Asia,OWID_ASI,1336,2
Asia,OWID_ASI,1337,1
Asia,OWID_ASI,1339,1
Asia,OWID_ASI,1340,1
Asia,OWID_ASI,1341,1
Asia,OWID_ASI,1343,2
Asia,OWID_ASI,1344,2
Asia,OWID_ASI,1347,1
Asia,OWID_ASI,1350,1
Asia,OWID_ASI,1351,1
Asia,OWID_ASI,1352,1
Asia,OWID_ASI,1354,2
Asia,OWID_ASI,1358,1
Asia,OWID_ASI,1360,2
Asia,OWID_ASI,1361,2
Asia,OWID_ASI,1367,1
Asia,OWID_ASI,1368,1
Asia,OWID_ASI,1372,1
Asia,OWID_ASI,1377,1
Asia,OWID_ASI,1382,1
Asia,OWID_ASI,1385,1
Asia,OWID_ASI,1387,1
Asia,OWID_ASI,1389,3
Asia,OWID_ASI,1390,1
Asia,OWID_ASI,1400,2
Asia,OWID_ASI,1402,1
Asia,OWID_ASI,1403,2
Asia,OWID_ASI,1404,1
Asia,OWID_ASI,1405,1
Asia,OWID_ASI,1406,1
Asia,OWID_ASI,1407,1
Asia,OWID_ASI,1408,2
Asia,OWID_ASI,1419,1
Asia,OWID_ASI,1426,1
Asia,OWID_ASI,1433,1
Asia,OWID_ASI,1440,2
Asia,OWID_ASI,1441,2
Asia,OWID_ASI,1444,1
Asia,OWID_ASI,1445,1
Asia,OWID_ASI,1448,1
Asia,OWID_ASI,1455,1
Asia,OWID_ASI,1456,1
Asia,OWID_ASI,1457,1
Asia,OWID_ASI,1458,2
Asia,OWID_ASI,1463,1
Asia,OWID_ASI,1467,1
Asia,OWID_ASI,1475,1
Asia,OWID_ASI,1478,1
Asia,OWID_ASI,1481,1
Asia,OWID_ASI,1482,2
Asia,OWID_ASI,1483,1
Asia,OWID_ASI,1484,2
Asia,OWID_ASI,1485,2
Asia,OWID_ASI,1487,1
Asia,OWID_ASI,1488,1
Asia,OWID_ASI,1489,1
Asia,OWID_ASI,1490,1
Asia,OWID_ASI,1493,1
Asia,OWID_ASI,1494,1
Asia,OWID_ASI,1495,2
Asia,OWID_ASI,1497,1
Asia,OWID_ASI,1498,3
Asia,OWID_ASI,1499,1
Asia,OWID_ASI,1500,1
Asia,OWID_ASI,1501,3
Asia,OWID_ASI,1502,1
Asia,OWID_ASI,1505,3
Asia,OWID_ASI,1507,1
Asia,OWID_ASI,1509,3
Asia,OWID_ASI,1510,2
Asia,OWID_ASI,1511,1
Asia,OWID_ASI,1512,1
Asia,OWID_ASI,1514,1
Asia,OWID_ASI,1515,2
Asia,OWID_ASI,1517,1
Asia,OWID_ASI,1518,1
Asia,OWID_ASI,1520,2
Asia,OWID_ASI,1524,1
Asia,OWID_ASI,1527,1
Asia,OWID_ASI,1531,1
Asia,OWID_ASI,1535,1
Asia,OWID_ASI,1536,1
Asia,OWID_ASI,1539,1
Asia,OWID_ASI,1542,1
Asia,OWID_ASI,1545,2
Asia,OWID_ASI,1546,1
Asia,OWID_ASI,1549,1
Asia,OWID_ASI,1550,1
Asia,OWID_ASI,1551,1
Asia,OWID_ASI,1553,1
Asia,OWID_ASI,1555,1
Asia,OWID_ASI,1556,3
Asia,OWID_ASI,1560,2
Asia,OWID_ASI,1561,2
Asia,OWID_ASI,1566,1
Asia,OWID_ASI,1568,2
Asia,OWID_ASI,1570,1
Asia,OWID_ASI,1571,1
Asia,OWID_ASI,1573,1
Asia,OWID_ASI,1574,1
Asia,OWID_ASI,1577,2
Asia,OWID_ASI,1579,1
Asia,OWID_ASI,1586,2
Asia,OWID_ASI,1588,3
Asia,OWID_ASI,1589,1
Asia,OWID_ASI,1590,1
Asia,OWID_ASI,1596,1
Asia,OWID_ASI,1597,1
Asia,OWID_ASI,1598,1
Asia,OWID_ASI,1599,1
Asia,OWID_ASI,1600,2
Asia,OWID_ASI,1601,1
Asia,OWID_ASI,1602,1
Asia,OWID_ASI,1604,1
Asia,OWID_ASI,1605,3
Asia,OWID_ASI,1606,1
Asia,OWID_ASI,1608,1
Asia,OWID_ASI,1609,1
Asia,OWID_ASI,1610,1
Asia,OWID_ASI,1611,4
Asia,OWID_ASI,1613,1
Asia,OWID_ASI,1614,2
Asia,OWID_ASI,1615,1
Asia,OWID_ASI,1616,3
Asia,OWID_ASI,1618,3
Asia,OWID_ASI,1619,2
Asia,OWID_ASI,1620,2
Asia,OWID_ASI,1621,1
Asia,OWID_ASI,1622,1
Asia,OWID_ASI,1626,1
Asia,OWID_ASI,1627,2
Asia,OWID_ASI,1628,2
Asia,OWID_ASI,1629,1
Asia,OWID_ASI,1630,2
Asia,OWID_ASI,1631,3
Asia,OWID_ASI,1633,2
Asia,OWID_ASI,1634,3
Asia,OWID_ASI,1636,1
Asia,OWID_ASI,1639,1
Asia,OWID_ASI,1640,3
Asia,OWID_ASI,1641,3
Asia,OWID_ASI,1642,2
Asia,OWID_ASI,1643,1
Asia,OWID_ASI,1644,1
Asia,OWID_ASI,1645,2
Asia,OWID_ASI,1646,4
Asia,OWID_ASI,1647,1
Asia,OWID_ASI,1648,2
Asia,OWID_ASI,1649,2
Asia,OWID_ASI,1650,1
Asia,OWID_ASI,1652,1
Asia,OWID_ASI,1653,2
Asia,OWID_ASI,1654,1
Asia,OWID_ASI,1656,1
Asia,OWID_ASI,1657,2
Asia,OWID_ASI,1658,2
Asia,OWID_ASI,1659,2
Asia,OWID_ASI,1661,1
Asia,OWID_ASI,1662,2
Asia,OWID_ASI,1664,3
Asia,OWID_ASI,1665,2
Asia,OWID_ASI,1666,3
Asia,OWID_ASI,1667,5
Asia,OWID_ASI,1668,6
Asia,OWID_ASI,1669,1
Asia,OWID_ASI,1670,4
Asia,OWID_ASI,1671,2
Asia,OWID_ASI,1673,4
Asia,OWID_ASI,1674,2
Asia,OWID_ASI,1675,1
Asia,OWID_ASI,1676,1
Asia,OWID_ASI,1677,4
Asia,OWID_ASI,1678,4
Asia,OWID_ASI,1679,4
Asia,OWID_ASI,1680,2
Asia,OWID_ASI,1681,2
Asia,OWID_ASI,1683,3
Asia,OWID_ASI,1687,1
Asia,OWID_ASI,1688,3
Asia,OWID_ASI,1690,2
